timestamp,load_kw,pv_kw,price_per_kWh,gCO2/kWh,net_load_kw
2026-08-01 00:00:00-07:00,12.714,0.0,0.38491,366.96,12.714
2026-08-01 00:15:00-07:00,12.822,0.0,0.38491,373.38,12.822
2026-08-01 00:30:00-07:00,12.04,0.0,0.38491,382.2,12.04
2026-08-01 00:45:00-07:00,12.001,0.0,0.38491,383.69,12.001
2026-08-01 01:00:00-07:00,12.229,0.0,0.38491,387.42,12.229
2026-08-01 01:15:00-07:00,12.255,0.0,0.38491,384.08,12.255
2026-08-01 01:30:00-07:00,11.48,0.0,0.38491,377.56,11.48
2026-08-01 01:45:00-07:00,12.096,0.0,0.38491,381.9,12.096
2026-08-01 02:00:00-07:00,11.505,0.0,0.38491,402.62,11.505
2026-08-01 02:15:00-07:00,11.166,0.0,0.38491,385.97,11.166
2026-08-01 02:30:00-07:00,13.741,0.0,0.38491,381.36,13.741
2026-08-01 02:45:00-07:00,11.599,0.0,0.38491,382.49,11.599
2026-08-01 03:00:00-07:00,9.923,0.0,0.38491,391.72,9.923
2026-08-01 03:15:00-07:00,10.802,0.0,0.38491,380.66,10.802
2026-08-01 03:30:00-07:00,12.89,0.0,0.38491,381.37,12.89
2026-08-01 03:45:00-07:00,11.71,0.0,0.38491,384.18,11.71
2026-08-01 04:00:00-07:00,12.072,0.0,0.38491,375.78,12.072
2026-08-01 04:15:00-07:00,12.731,0.0,0.38491,368.43,12.731
2026-08-01 04:30:00-07:00,9.895,0.0,0.38491,350.77,9.895
2026-08-01 04:45:00-07:00,13.882,0.0,0.38491,355.22,13.882
2026-08-01 05:00:00-07:00,11.319,0.0,0.38491,352.89,11.319
2026-08-01 05:15:00-07:00,12.575,0.0,0.38491,345.92,12.575
2026-08-01 05:30:00-07:00,13.028,0.0,0.38491,326.74,13.028
2026-08-01 05:45:00-07:00,11.205,0.0,0.38491,320.36,11.205
2026-08-01 06:00:00-07:00,13.189,0.0,0.38491,312.25,13.189
2026-08-01 06:15:00-07:00,12.361,0.0,0.38491,303.61,12.361
2026-08-01 06:30:00-07:00,11.09,0.78,0.38491,297.65,10.31
2026-08-01 06:45:00-07:00,12.363,1.825,0.38491,290.02,10.538
2026-08-01 07:00:00-07:00,11.735,2.779,0.38491,295.05,8.956
2026-08-01 07:15:00-07:00,14.85,3.565,0.38491,275.07,11.285
2026-08-01 07:30:00-07:00,16.153,5.034,0.38491,293.68,11.119
2026-08-01 07:45:00-07:00,17.17,6.294,0.38491,278.24,10.876
2026-08-01 08:00:00-07:00,19.057,7.437,0.38491,253.92,11.62
2026-08-01 08:15:00-07:00,21.127,8.13,0.38491,259.73,12.997
2026-08-01 08:30:00-07:00,21.566,9.771,0.38491,263.48,11.795
2026-08-01 08:45:00-07:00,23.107,10.644,0.38491,246.15,12.463
2026-08-01 09:00:00-07:00,22.734,10.967,0.38491,251.11,11.767
2026-08-01 09:15:00-07:00,25.137,12.484,0.38491,237.51,12.653
2026-08-01 09:30:00-07:00,25.499,13.269,0.38491,246.93,12.23
2026-08-01 09:45:00-07:00,27.673,13.888,0.38491,237.63,13.785
2026-08-01 10:00:00-07:00,28.145,14.655,0.38491,236.25,13.49
2026-08-01 10:15:00-07:00,29.297,15.904,0.38491,219.82,13.393
2026-08-01 10:30:00-07:00,29.811,17.586,0.38491,224.23,12.225
2026-08-01 10:45:00-07:00,30.023,18.251,0.38491,229.38,11.772
